"storenum","lat","long","year","new","state","population"
1,36.332031,-94.149051,1965,0,"AR",1894000
1,36.332031,-94.149051,1970,0,"AR",1930077
1,36.332031,-94.149051,1975,0,"AR",2158291
1,36.332031,-94.149051,1980,0,"AR",2288738
1,36.332031,-94.149051,1985,0,"AR",2327046
1,36.332031,-94.149051,1990,0,"AR",2356586
1,36.332031,-94.149051,1995,0,"AR",2535399
1,36.332031,-94.149051,2000,0,"AR",2678288
1,36.332031,-94.149051,2005,0,"AR",2776221
2,36.2665895,-93.1394835,1965,0,"AR",1894000
2,36.2665895,-93.1394835,1970,0,"AR",1930077
2,36.2665895,-93.1394835,1975,0,"AR",2158291
2,36.2665895,-93.1394835,1980,0,"AR",2288738
2,36.2665895,-93.1394835,1985,0,"AR",2327046
2,36.2665895,-93.1394835,1990,0,"AR",2356586
2,36.2665895,-93.1394835,1995,0,"AR",2535399
2,36.2665895,-93.1394835,2000,0,"AR",2678288
2,36.2665895,-93.1394835,2005,0,"AR",2776221
3,34.2484169,-83.4598379,1990,0,"GA",6512602
3,34.2484169,-83.4598379,1995,0,"GA",7328413
3,34.2484169,-83.4598379,2000,0,"GA",8230161
3,34.2484169,-83.4598379,2005,0,"GA",9097428
4,36.183175,-94.512615,1965,1,"AR",1894000
4,36.183175,-94.512615,1970,0,"AR",1930077
4,36.183175,-94.512615,1975,0,"AR",2158291
4,36.183175,-94.512615,1980,0,"AR",2288738
4,36.183175,-94.512615,1985,0,"AR",2327046
4,36.183175,-94.512615,1990,0,"AR",2356586
4,36.183175,-94.512615,1995,0,"AR",2535399
4,36.183175,-94.512615,2000,0,"AR",2678288
4,36.183175,-94.512615,2005,0,"AR",2776221
5,35.1086464,-92.4369037,1975,0,"AR",2158291
5,35.1086464,-92.4369037,1980,0,"AR",2288738
5,35.1086464,-92.4369037,1985,0,"AR",2327046
5,35.1086464,-92.4369037,1990,0,"AR",2356586
5,35.1086464,-92.4369037,1995,0,"AR",2535399
5,35.1086464,-92.4369037,2000,0,"AR",2678288
5,35.1086464,-92.4369037,2005,0,"AR",2776221
7,34.7910574,-92.2768097,1970,0,"AR",1930077
7,34.7910574,-92.2768097,1975,0,"AR",2158291
7,34.7910574,-92.2768097,1980,0,"AR",2288738
7,34.7910574,-92.2768097,1985,0,"AR",2327046
7,34.7910574,-92.2768097,1990,0,"AR",2356586
7,34.7910574,-92.2768097,1995,0,"AR",2535399
7,34.7910574,-92.2768097,2000,0,"AR",2678288
7,34.7910574,-92.2768097,2005,0,"AR",2776221
8,35.168882,-92.726186,1970,0,"AR",1930077
8,35.168882,-92.726186,1975,0,"AR",2158291
8,35.168882,-92.726186,1980,0,"AR",2288738
8,35.168882,-92.726186,1985,0,"AR",2327046
8,35.168882,-92.726186,1990,0,"AR",2356586
8,35.168882,-92.726186,1995,0,"AR",2535399
8,35.168882,-92.726186,2000,0,"AR",2678288
8,35.168882,-92.726186,2005,0,"AR",2776221
9,36.8954259,-89.5950968,1970,0,"MO",4684768
9,36.8954259,-89.5950968,1975,0,"MO",4795383
9,36.8954259,-89.5950968,1980,0,"MO",4921966
9,36.8954259,-89.5950968,1985,0,"MO",5000260
9,36.8954259,-89.5950968,1990,0,"MO",5128880
9,36.8954259,-89.5950968,1995,0,"MO",5378247
9,36.8954259,-89.5950968,2000,0,"MO",5606065
9,36.8954259,-89.5950968,2005,0,"MO",5806639
10,35.8887523,-94.9799735,1970,0,"OK",2566485
10,35.8887523,-94.9799735,1975,0,"OK",2771858
10,35.8887523,-94.9799735,1980,0,"OK",3040758
10,35.8887523,-94.9799735,1985,0,"OK",3271333
10,35.8887523,-94.9799735,1990,0,"OK",3148825
